arm,sae_rsa_mean,sae_rsa_std,pca_rsa,rep_rsa,rep_p,noise_ceiling
raw-EEG,0.0279,0.0029,0.0854,0.1353,0.0005,0.0997
eeg-fm,0.0426,0.0007,0.0140,0.0681,0.0435,0.0085
VERDICT,THESIS NOT SUPPORTED on THINGS-EEG2 (FM does not beat raw/PCA here). Confounded by RSVP contamination + preprocessing mismatch — see caveats; needs slower-SOA EEG or fMRI for a clean test.,,,,,
