concept,n_significant_features,top_feature_id,top_W
airplane,28,145,0.13902572336807367
automobile,39,357,0.24801066989397216
bird,5,63,0.23871384096899403
cat,36,73,0.10038056943227265
deer,11,186,0.2658583256087922
dog,27,284,0.2520466051509165
frog,50,248,0.22437209636869695
horse,27,215,0.41580478806039944
ship,33,429,0.3321976026566402
truck,21,316,0.455413495236088
